Rank,Genre
1,Sports
2,Platform
3,Racing
4,Sports
5,Role-Playing
6,Puzzle
7,Platform
8,Misc
9,Platform
10,Shooter
11,Simulation
12,Racing
13,Role-Playing
14,Sports
15,Sports
16,Misc
17,Action
18,Action
19,Platform
20,Misc
21,Role-Playing
22,Platform
23,Platform
24,Action
25,Action
26,Role-Playing
27,Role-Playing
28,Puzzle
29,Racing
30,Shooter
31,Role-Playing
32,Shooter
33,Role-Playing
34,Shooter
35,Shooter
36,Shooter
37,Shooter
38,Shooter
39,Action
40,Fighting
41,Shooter
42,Simulation
43,Racing
44,Shooter
45,Action
46,Action
47,Platform
48,Racing
49,Platform
50,Role-Playing
51,Adventure
52,Action
53,Racing
54,Platform
55,Racing
56,Shooter
57,Action
58,Platform
59,Role-Playing
60,Platform
61,Misc
62,Shooter
63,Shooter
64,Racing
65,Platform
66,Shooter
67,Role-Playing
68,Shooter
69,Misc
70,Racing
71,Shooter
72,Platform
73,Misc
74,Simulation
75,Misc
76,Role-Playing
77,Racing
78,Sports
79,Misc
80,Shooter
81,Misc
82,Role-Playing
83,Action
84,Simulation
85,Shooter
86,Sports
87,Role-Playing
88,Role-Playing
89,Role-Playing
90,Puzzle
91,Action
92,Platform
93,Shooter
94,Shooter
95,Action
96,Platform
97,Platform
98,Fighting
99,Shooter
100,Shooter
101,Action
102,Shooter
103,Misc
104,Shooter
105,Racing
106,Fighting
107,Platform
108,Fighting
109,Racing
110,Role-Playing
111,Racing
112,Misc
113,Sports
114,Racing
115,Shooter
116,Action
117,Platform
118,Sports
119,Shooter
120,Action
121,Shooter
122,Sports
123,Misc
124,Action
125,Sports
126,Platform
127,Role-Playing
128,Action
129,Action
130,Shooter
131,Role-Playing
132,Role-Playing
133,Role-Playing
134,Shooter
135,Action
136,Platform
137,Fighting
138,Role-Playing
139,Action
140,Sports
141,Shooter
142,Shooter
143,Action
144,Platform
145,Action
146,Action
147,Action
148,Role-Playing
149,Platform
150,Role-Playing
151,Action
152,Action
153,Fighting
