Name,Year,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Wii Sports,2006,82.74,41.49,29.02,3.77,8.46
Super Mario Bros.,1985,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii,2008,35.82,15.85,12.88,3.79,3.31
Wii Sports Resort,2009,33,15.75,11.01,3.28,2.96
Pokemon Red/Pokemon Blue,1996,31.37,11.27,8.89,10.22,1
Tetris,1989,30.26,23.2,2.26,4.22,0.58
New Super Mario Bros.,2006,30.01,11.38,9.23,6.5,2.9
Wii Play,2006,29.02,14.03,9.2,2.93,2.85
New Super Mario Bros. Wii,2009,28.62,14.59,7.06,4.7,2.26
Duck Hunt,1984,28.31,26.93,0.63,0.28,0.47
Nintendogs,2005,24.76,9.07,11,1.93,2.75
Mario Kart DS,2005,23.42,9.81,7.57,4.13,1.92
Pokemon Gold/Pokemon Silver,1999,23.1,9,6.18,7.2,0.71
Wii Fit,2007,22.72,8.94,8.03,3.6,2.15
Wii Fit Plus,2009,22,9.09,8.59,2.53,1.79
Kinect Adventures!,2010,21.82,14.97,4.94,0.24,1.67
Grand Theft Auto V,2013,21.4,7.01,9.27,0.97,4.14
Grand Theft Auto: San Andreas,2004,20.81,9.43,0.4,0.41,10.57
Super Mario World,1990,20.61,12.78,3.75,3.54,0.55
Brain Age: Train Your Brain in Minutes a Day,2005,20.22,4.75,9.26,4.16,2.05
Pokemon Diamond/Pokemon Pearl,2006,18.36,6.42,4.52,6.04,1.37
Super Mario Land,1989,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3,1988,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto V,2013,16.38,9.63,5.31,0.06,1.38
Grand Theft Auto: Vice City,2002,16.15,8.41,5.49,0.47,1.78
Pokemon Ruby/Pokemon Sapphire,2002,15.85,6.06,3.9,5.38,0.5
Pokemon Black/Pokemon White,2010,15.32,5.57,3.28,5.65,0.82
Brain Age 2: More Training in Minutes a Day,2005,15.3,3.44,5.36,5.32,1.18
Gran Turismo 3: A-Spec,2001,14.98,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3,2011,14.76,9.03,4.28,0.13,1.32
Pokémon Yellow: Special Pikachu Edition,1998,14.64,5.89,5.04,3.12,0.59
Call of Duty: Black Ops,2010,14.64,9.67,3.73,0.11,1.13
Pokemon X/Pokemon Y,2013,14.35,5.17,4.05,4.34,0.79
Call of Duty: Black Ops 3,2015,14.24,5.77,5.81,0.35,2.31
Call of Duty: Black Ops II,2012,14.03,4.99,5.88,0.65,2.52
Call of Duty: Black Ops II,2012,13.73,8.25,4.3,0.07,1.12
Call of Duty: Modern Warfare 2,2009,13.51,8.52,3.63,0.08,1.29
Call of Duty: Modern Warfare 3,2011,13.46,5.54,5.82,0.49,1.62
Grand Theft Auto III,2001,13.1,6.99,4.51,0.3,1.3
Super Smash Bros. Brawl,2008,13.04,6.75,2.61,2.66,1.02
Call of Duty: Black Ops,2010,12.73,5.98,4.44,0.48,1.83
Animal Crossing: Wild World,2005,12.27,2.55,3.52,5.33,0.88
Mario Kart 7,2011,12.21,4.74,3.91,2.67,0.89
Halo 3,2007,12.14,7.97,2.83,0.13,1.21
Grand Theft Auto V,2014,11.98,3.8,5.81,0.36,2.02
Pokemon HeartGold/Pokemon SoulSilver,2009,11.9,4.4,2.77,3.96,0.77
Super Mario 64,1996,11.89,6.91,2.85,1.91,0.23
Gran Turismo 4,2004,11.66,3.01,0.01,1.1,7.53
Super Mario Galaxy,2007,11.52,6.16,3.4,1.2,0.76
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,11.33,4.23,3.37,3.08,0.65
Super Mario Land 2: 6 Golden Coins,1992,11.18,6.16,2.04,2.69,0.29
Grand Theft Auto IV,2008,11.02,6.76,3.1,0.14,1.03
Gran Turismo,1997,10.95,4.02,3.87,2.54,0.52
Super Mario 3D Land,2011,10.79,4.89,2.99,2.13,0.78
Gran Turismo 5,2010,10.77,2.96,4.88,0.81,2.12
Call of Duty: Modern Warfare 2,2009,10.69,4.99,3.69,0.38,1.63
Grand Theft Auto IV,2008,10.57,4.76,3.76,0.44,1.62
Super Mario All-Stars,1993,10.55,5.99,2.15,2.12,0.29
Pokemon FireRed/Pokemon LeafGreen,2004,10.49,4.34,2.65,3.15,0.35
