Rank,Publisher
1,Nintendo
2,Nintendo
3,Nintendo
4,Nintendo
5,Nintendo
6,Nintendo
7,Nintendo
8,Nintendo
9,Nintendo
10,Nintendo
11,Nintendo
12,Nintendo
13,Nintendo
14,Nintendo
15,Nintendo
16,Microsoft Game Studios
17,Take-Two Interactive
18,Take-Two Interactive
19,Nintendo
20,Nintendo
21,Nintendo
22,Nintendo
23,Nintendo
24,Take-Two Interactive
25,Take-Two Interactive
26,Nintendo
27,Nintendo
28,Nintendo
29,Sony Computer Entertainment
30,Activision
31,Nintendo
32,Activision
33,Nintendo
34,Activision
35,Activision
36,Activision
37,Activision
38,Activision
39,Take-Two Interactive
40,Nintendo
41,Activision
42,Nintendo
43,Nintendo
44,Microsoft Game Studios
45,Take-Two Interactive
46,Nintendo
47,Nintendo
48,Sony Computer Entertainment
49,Nintendo
50,Nintendo
51,Nintendo
52,Take-Two Interactive
53,Sony Computer Entertainment
54,Nintendo
55,Sony Computer Entertainment
56,Activision
57,Take-Two Interactive
58,Nintendo
59,Nintendo
60,Nintendo
61,Ubisoft
62,Activision
63,Microsoft Game Studios
64,Nintendo
65,Nintendo
66,Microsoft Game Studios
67,Sony Computer Entertainment
68,Activision
69,Ubisoft
70,Sony Computer Entertainment
71,Activision
72,Nintendo
73,Microsoft Game Studios
74,Nintendo
75,Nintendo
76,Bethesda Softworks
77,Nintendo
78,Electronic Arts
79,Nintendo
80,Microsoft Game Studios
81,Nintendo
82,Nintendo
83,Electronic Arts
84,Electronic Arts
85,Nintendo
86,Sega
87,Sony Computer Entertainment
88,SquareSoft
89,Nintendo
90,Atari
91,Take-Two Interactive
92,Nintendo
93,Electronic Arts
94,Activision
95,Nintendo
96,Sony Computer Entertainment
97,Nintendo
98,Nintendo
99,Activision
100,Electronic Arts
101,Nintendo
102,Activision
103,Ubisoft
104,Electronic Arts
105,Electronic Arts
106,Sony Computer Entertainment
107,Sony Computer Entertainment
108,Nintendo
109,Nintendo
110,Bethesda Softworks
111,Nintendo
112,Ubisoft
113,Electronic Arts
114,Electronic Arts
115,Electronic Arts
116,Sony Computer Entertainment
117,Sony Computer Entertainment
118,505 Games
119,Microsoft Game Studios
120,Sony Computer Entertainment
121,Activision
122,Electronic Arts
123,Nintendo
124,Take-Two Interactive
125,Electronic Arts
