Rank,Platform
1,Wii
2,NES
3,Wii
4,Wii
5,GB
6,GB
7,DS
8,Wii
9,Wii
10,NES
11,DS
12,DS
13,GB
14,Wii
15,Wii
16,X360
17,PS3
18,PS2
19,SNES
20,DS
21,DS
22,GB
23,NES
24,X360
25,PS2
26,GBA
27,DS
28,DS
29,PS2
30,X360
31,GB
32,X360
33,3DS
34,PS4
35,PS3
36,X360
37,X360
38,PS3
39,PS2
40,Wii
41,PS3
42,DS
43,3DS
44,X360
45,PS4
46,DS
47,N64
48,PS2
49,Wii
50,3DS
51,GB
52,X360
53,PS
54,3DS
55,PS3
56,PS3
57,PS3
58,SNES
59,GBA
60,DS
61,Wii
62,X360
63,X360
64,N64
65,3DS
66,X360
67,PS
68,PS3
69,Wii
70,PS
71,X360
72,SNES
73,X360
74,3DS
75,DS
76,X360
77,SNES
78,PS4
79,Wii
80,XB
81,Wii
82,DS
83,PS3
84,PC
85,N64
86,Wii
87,PS2
88,PS
89,DS
90,2600
91,PSP
92,Wii
93,PS4
94,PS4
95,N64
96,PS
97,NES
98,3DS
99,X360
100,X360
101,Wii
102,XOne
103,Wii
104,PS3
105,PS2
106,PS
107,PS
108,GC
109,WiiU
110,PS4
111,GC
112,Wii
113,PS3
114,PS2
115,PS2
116,PS3
117,PS
118,Wii
119,X360
120,PS3
121,PS3
122,PS3
123,DS
124,PS3
125,PS4
126,Wii
127,PS3
128,NES
129,PS3
130,XB
131,GBA
132,PS2
133,GB
134,X360
135,X360
136,GC
137,SNES
138,PC
139,PS
140,X360
141,X360
142,X360
143,PS2
144,GEN
145,PS3
146,PS
147,PS3
148,PS2
149,PS3
150,DS
151,Wii
152,PS
153,PS
154,DS
155,PS4
156,NES
157,PS3
158,N64
159,X360
160,PS3
161,X360
162,PSP
163,GBA
164,GBA
165,GBA
166,N64
167,PS3
168,PS2
169,PS3
170,PS3
171,GB
172,GB
173,X360
174,PS
175,PS2
176,N64
177,X360
178,DS
179,PS
180,PS2
181,PS2
182,PC
183,GBA
184,WiiU
185,GB
186,X360
187,DS
188,SNES
189,3DS
190,DS
191,PS2
192,GB
193,X360
194,XOne
195,PC
196,PS2
197,PS3
198,XOne
199,PSP
200,PS3
201,GB
202,PS
203,PS
204,WiiU
205,PS
206,PS
207,Wii
208,PS2
209,X360
210,DS
211,PS3
212,PS2
213,DS
214,N64
215,PSP
216,NES
217,PS3
218,PC
219,PS3
220,PS3
221,PS
222,PS4
223,X360
224,PS
225,PS2
226,PS
227,Wii
228,PS2
229,X360
230,PS
231,Wii
232,SNES
233,GC
234,Wii
235,3DS
236,WiiU
237,PS4
238,X360
239,PS2
240,2600
241,PS2
242,PS2
243,PS
244,PS4
245,PS3
246,PS2
247,WiiU
248,Wii
249,PS2
250,PS2
251,X360
252,NES
253,PS2
254,PS3
255,GEN
256,PS2
257,X360
258,X360
259,2600
260,X360
261,XOne
262,WiiU
263,PS3
264,PS3
265,GBA
266,PS2
267,PSP
268,PC
269,3DS
270,PS2
271,PS2
272,PS4
273,PS3
274,X360
275,PS3
276,X360
277,NES
278,NES
279,PS
280,PS2
281,PS4
282,PC
283,SNES
284,PS2
285,Wii
286,SNES
287,Wii
288,XOne
289,PC
290,X360
291,PS2
292,X360
293,PS2
294,PS
295,PS2
296,PS4
297,N64
298,PS4
299,NES
300,PS3
301,DS
302,X360
303,PS2
304,Wii
305,PS4
306,GB
307,PS2
308,PS3
309,3DS
310,PS3
311,PC
312,PS2
313,NES
314,PS3
315,PS4
316,PS2
317,DS
318,PS
319,GB
320,DS
321,Wii
322,3DS
323,PS4
324,Wii
325,X360
326,PS
327,PSP
328,Wii
329,PC
330,Wii
331,PS
332,PS4
333,PS
334,PS
335,PS2
336,GB
337,PS3
338,DS
339,DS
340,PS2
341,PSP
342,N64
343,PS2
344,Wii
345,PS3
346,PS2
347,N64
348,PS3
349,PS2
350,PS4
351,PS2
352,PS4
353,PS2
354,PC
355,PS2
356,DS
357,GC
358,PS2
359,PS
360,PS
361,PS2
362,PS2
363,PS
364,PS2
365,PS2
366,X360
367,X360
368,PS
369,PS
370,X360
371,DS
372,X360
373,SNES
374,X360
375,NES
376,X360
377,DS
378,PS2
379,XOne
380,X360
381,DS
382,XOne
383,PS3
384,3DS
385,X360
386,PS2
387,PS4
388,PS3
389,PS
390,SNES
391,PS2
392,GB
393,PS2
394,PS
395,X360
396,PS4
397,DS
398,PS
399,N64
400,DS
401,PS
402,X360
403,DS
404,PS2
405,PS2
406,Wii
407,PS2
408,PS2
409,PS2
410,PS4
411,XOne
412,PS2
413,Wii
414,PSP
415,3DS
416,PS
417,XOne
418,PS3
419,PS4
420,3DS
421,PS
422,NES
423,SNES
424,PS
425,PSP
426,PSP
427,SNES
428,X360
429,PS2
430,WiiU
431,PS3
